Africa	n.非洲
acephalous	[ə;'sefə;lə;s] adj.无头的,群龙无首的
acequia	[ə;'seikjə;] n.(美国西南部的)灌溉水渠
acerate	['æ;sə;reit] adj.[生物]一端尖的,针状的
acerb	[ə;'sə;:b] adj.酸涩的,尖锐的,刻薄的
acerbate	['æ;sə;beit] vt.使发怒,使烦恼adj.恼怒的
acerbic	[ə;'sə;:bik] adj.酸的,尖刻的
acerbity	[ə;'sə;:biti] n.涩,酸,刻薄
acervate	[ə;'sə;:veit] adj.[植]成堆生长的,簇生的
acet	乙川,乙酰
acetal	['æ;sitæ;l] n.[化]乙缩醛,乙缩醛二乙醇
acetaldehyde	[,æ;si'tæ;ldə;haid] n.[化]乙醛,醋醛
acetamide	n.[化]乙酰胺
acetanilide	[,æ;si'tæ;nilaid] n.退热冰
acetate	['æ;sitit] n.[化]醋酸盐,醋酸纤维素及其制成的产品
acetic	[ə;'si:tik] adj.[化]醋的,乙酸的
acetification	[ə;,setifi'keiʃ;ə;n] n.使变成醋,醋化
acetifier	[ə;'seti,faiə;] [化]醋化器
acetify	[ə;'setifai] v.[化](使)醋化,(使)变酸
acetone	['æ;sitə;un] n.[化]丙酮
acetophenetidin	n.[化]乙酰氧乙苯胺
acetose	['æ;sitə;us] adj.酸的,醋一样酸的
acetous	['æ;sitə;s] adj.产生醋酸的,酸的,有酸味的
acetyl	n.[化]乙酰基,醋酸基
acetylate	[ə;'set,leit] v.[化]加乙酰基于
acetylcholine	[,æ;sitil'kɔ;li:n] n.[化]乙酰胆碱
acetylene	[ə;'setili:n] n.[化]乙炔,电石气
acetylic	[,æ;si'tilik] adj.乙酰基群的
ache	[eik] n.疼痛vi.觉得疼痛,渴望
achene	[ə;'ki:n] n.[植]瘦果
achievable	[ə;'tʃ;i:və;bə;l] adj.做得成的,可完成的,可有成就的
achieve	[ə;'tʃ;i:v] vt.完成,达到
achievement	[ə;'tʃ;i:vmə;nt] n.成就,功绩
aching	['eikiŋ;] adj.痛的,疼痛的,心痛的
achlamydeous	[,æ;klə;'midiə;s] adj.[植]无花被的
achlorhydria	[,eiklɔ;:'haidriə;] n.[医]胃酸缺乏
achondrite	[ei'kɔ;ndrait] n.不含球粒陨石
achondroplasia	[ei,kɔ;ndrə;'pleiʒ;ə;] n.软骨发育不全
achromat	n.(=achromate)色盲患者
achromatic	[,æ;krə;u'mæ;tik] adj.消色差的,非彩色的
achromatin	[ə;'krə;umə;tin] n.(细胞核内的)非染色质
achromatism	[ə;'krə;umə;tizə;m] n.无色,消色差性
achromatopsia	n.色盲
achromatous	[ei'krə;umə;tə;s] adj.无色的,淡色的
achy	[eiki] adj.疼痛的
acicula	[ə;'sikjulə;] n.[生物]针,刺
acid	['æ;sid] n.[化]酸,<俚>迷幻药adj.酸的,讽刺的,刻薄的
acidic	[ə;'sidik] adj.酸的,酸性的
acidification	[ə;,sidifi'keiʃ;ə;n] n.使发酸,酸化,成酸性
acidifier	[ə;'sidifaiə;] n.成酸剂
acidify	[ə;'sidifai] vt.使酸化,使成酸vi.变酸
acidimeter	[,æ;si'dimitə;] n.酸比重计
acidity	[ə;'siditi] n.酸度,酸性,[医]酸过多,胃酸过多
acidophile	['æ;sidə;ufil] n.[医]嗜酸细胞,嗜酸细菌
acidophilic	[,æ;sidə;u'filik] adj.嗜酸的
acidosis	[,æ;si'də;usis] n.酸液过多症,酸毒症
acidulate	[ə;'sidjuleit] vt.使酸化,使尖刻
acidulous	[ə;'sidjulə;s] adj.多少带酸味的,不悦的
acinar	adj.[解]腺泡的
acknowledge	[ə;k'nɔ;lidʒ;] vt.承认,答谢,报偿
acknowledged	[ə;k'nɔ;lidʒ;d] adj.公认的
acknowledgement	[ə;k'nɔ;lidʒ;mə;nt] n.承认,确认,感谢
acknowledgment	[ə;k'nɔ;lidʒ;mə;nt] n.承认,承认书,感谢
aclinic	[ei'klinik] adj.无倾角的,水平的
acme	['æ;kmi] n．顶点，极点
acne	['æ;kni] n.粉刺
acock	[ə;'kɔ;k] adv.边翻卷地,歪斜着
acold	[ə;'kə;uld] adj.寒冷的
acolyte	['æ;kə;lait] n．（教士的）助手，侍僧
aconite	['æ;kə;nait] n.乌头,从乌头的根提炼出的强心止痛剂
acorn	['eikɔ;:n] n.[植]橡树果,橡子
acoustic	[ə;'ku:stik] adj.有关声音的,声学的,音响学的
acoustical	[ə;'ku:stikə;l] adj.听觉的,声学的
acoustically	[ə;'ku:stikə;li] adv.听觉上,声学上
acoustician	[,æ;ku:s'tiʃ;ə;n] n.声学家
acoustics	[ə;'ku:stiks] n.声学
acquaint	[ə;'kweint] vt.使熟知,通知
acquaintance	[ə;'kweintə;ns] n.相识,熟人
acquaintanceship	[ə;'kweintnsʃ;ip] n.相识,相熟
acquainted	[ə;'kweintid] adj.有知识的,知晓的
acquiesce	[,æ;kwi'es] vi.默许,勉强同意
acquiescence	[,æ;kwi'esə;ns] n.默许
acquiescent	[,æ;kwi'esə;nt] adj.默许的,默从的
acquirable	[ə;'kwaiə;rə;bl] adj.可得的,可获的
acquire	[ə;'kwaiə;] vt.获得,学到
acquired	[ə;'kwaiə;d] adj．后天习得的
acquirement	[ə;'kwaiə;mə;nt] n.取得,习得
acquisition	[,æ;kwi'ziʃ;ə;n] n.获得,获得物
acquisitive	[ə;'kwizitiv] adj．贪得的，物欲重的
acquisitiveness	[ə;,kwi'zitivnis] 渴望得到
acquit	[ə;'kwit] vt.宣告无罪,脱卸义务和责任,还清(债务)
acquittal	[ə;'kwitl] n.宣判无罪
acquittance	[ə;'kwitə;ns] n.解除,偿清,清还证明书
acre	['eikə;] n.英亩,地产,大片田地
acreage	['eikə;ridʒ;] n.英亩数,面积
acrid	['æ;krid] adj.辛辣的,(言语或语调)刻薄的
acridine	['æ;kridi:n] n.一种医药原料,吖啶,氮蒽
acridity	[æ;'kriditi] n.辛辣,狠毒
acriflavine	[,æ;kri'fleivi:n] n.[药]吖啶黄(消毒灭菌剂)
acrimonious	[,æ;kri'mə;unjə;s] adj．尖刻的
acrimony	['æ;krimə;ni] n.言谈举止上的刻毒,讽刺,毒辣
acrobat	['æ;krə;bæ;t] n.(走钢丝的)杂技演员,随机应变者,翻云覆
acrobatic	[,æ;krə;'bæ;tik] adj.杂技的,特技的
acrobatically	杂技
acrobatics	[,æ;krə;'bæ;tiks] n.杂技
acrocarpous	[,æ;krə;'kɑ;:pə;s] adj.[植]茎端结实的
acrodont	adj.[解][动]边齿的,颌缘的
acrogen	['æ;krə;dʒ;ə;n] n.顶生植物
acrogenous	adj.顶生的
acrolein	[ə;'krə;uliin] n.[化]丙烯醛
acromegalic	[,æ;krə;mi'gæ;lik] adj.肢端肥大症患者的n.肢端肥大症患者
acromegaly	[,æ;krə;'megə;li] n.肢端肥大症
acronym	['æ;krə;nim] n.只取首字母的缩写词
acropetal	[ə;'krɔ;pitə;l] adj.[植]向顶的
acrophobia	[,æ;krə;'fə;ubiə;] n.[医]恐高症
acropolis	[ə;'krɔ;pə;lis] n.古希腊城市的卫城,雅典的卫城
across	[ə;'krɔ;:s] adv.横过,交叉地,在对面prep.越过,交叉
acrostic	[ə;'krɔ;stik] n.离合诗adj.离合诗的
acrylate	n.[化]丙烯酸盐,丙烯酸脂
acrylic	[æ;'krilik] adj.[化]丙烯酸的
acrylonitrile	n.[化]丙烯腈
act	[æ;kt] n.幕,法案,法令,动作,举动,节目,(戏剧的)幕vi.行动,产生...的效果,担当,表演,假装,表现,见效vt.扮演,装作
actability	
actin	['æ;ktin] n.肌动蛋白
acting	['æ;ktiŋ;] adj.代理的,起作用的,演戏的
actinia	[æ;k'tiniə;] n.[动]海葵
actinic	[æ;k'tinik] adj.[物]光化学的,有光化性的
actinide	['æ;ktinaid] n.[化]锕类
actinides	[pl.]锕类锕系元素锕化物
actinism	['æ;ktinizə;m] n.[物]光化度,光化作用
actinium	[æ;k'tiniə;m] n.[化]锕
actinoid	['æ;ktinɔ;id] adj.放射线状的
actinolite	[æ;k'tinə;,lait] n.[地]阳起石
actinometer	[,æ;kti'nɔ;mitə;] n.[摄](自记)暴光计,暴光表
actinomorphic	[,æ;ktinə;'mɔ;:fik] adj.放射状的,辐射对称的
actinomyces	[,æ;ktinə;u'maisi:z] [单复同]n.[微]放线菌
actinomycete	[,æ;ktinə;u'mai,si:t] n.放射菌类
actinomycin	[,æ;ktinə;u'maisin] n.放射菌素
actinomycosis	n.放射菌病
actinon	n.[核]锕射气
actinouranium	[,æ;ktinə;uju'reiniə;m] n.[化]锕铀
actinozoan	n.珊瑚虫,花形虫adj.珊瑚虫的
action	['æ;kʃ;ə;n] n.动作,作用,战斗,行动,举动,行为,(戏剧或书中)的情节,(某一地区、领域或团体中)最能产生效果、最有趣、最有刺激性的活动vt.对...起诉
actionable	['æ;kʃ;ə;nə;bl] adj.可控告的
activate	['æ;kti,veit] vt.刺激,使活动vi.有活力
activated	['æ;ktiveitid] adj.有活性的
activation	[,æ;kti'veiʃ;ə;n] n.活化,激活,[化]活化作用
activator	['æ;ktiveitə;] n.[化]催化剂,触媒剂
active	['æ;ktiv] adj.积极的,能起作用的,现行的,[语法]主动的,活动的,活跃的,活性的n.[语法]主动语态,积极分子
actively	['æ;ktivli] adv.活跃地,积极地
activism	['æ;ktivizə;m] n.行动(第一)主义,激进主义,[哲]触动论
activist	['æ;ktivist] n.激进主义分子,行动主义分子
activity	[æ;k'tiviti] n.活跃,活动性,行动,行为,[核]放射性
actomyosin	[,æ;ktə;u'maiə;sin] n.[生化]肌动球蛋白,肌纤凝蛋白
actor	['æ;ktə;] n.男演员,行动者,参与者
actorish	adj.不受演技优劣影响的(角色或剧本)
actress	['æ;ktris] n.女演员
actual	['æ;ktjuə;l] adj.实际的,真实的,现行的,目前的
actuality	[,æ;ktʃ;u'æ;liti] n.实在,现状
actualization	[,æ;ktʃ;uə;lai'zeiʃ;ə;n] n.实现,现实化
actualize	['æ;ktjuə;laiz] vt.实现,实施
actually	['æ;ktjuə;li] adv.实际上,事实上,竟然,居然,如今
actuarial	[,æ;ktju'ɛ;ə;riə;l] adj.保险精算师的,保险精算的
actuary	['æ;ktjuə;ri] n.保险精算师,保险(业务)计算员
actuate	['æ;ktjueit] vt.开动,促使
actuator	['æ;ktʃ;ueitə;] n.激励者
acuity	[ə;'kju:iti] n.尖锐,(疾病的)剧烈,(视力、才智等的)敏
aculeate	[ə;'kju:liit] adj.有刺的,一针见血的
acumen	[ə;'kju:men] n.敏锐,聪明
acuminate	[ə;'kju:mineit] adj.锐利的,尖形的vt.使尖锐
acupressure	['æ;kjupreʃ;ə;] n.针压(止血)法
acupuncture	['æ;kjupʌ;ŋ;ktʃ;ə;] n.针刺疗法v.施行针刺疗法
acupuncturist	[,æ;kju'pʌ;ŋ;ktʃ;ə;rist] n.针灸医生
acute	[ə;'kju:t] adj.敏锐的,[医]急性的,剧烈
acuteness	[ə;'kju:tnis] n.敏锐,剧烈
acyclic	[ei'saiklik] adj.非循环的,[化]无环的,脂肪族的
acyl	['æ;sil] n.[化]酰基
ad	n.广告[域]Andorra,安道尔abbr.[军]Ai
ad-lib	[æ;d'lib] adj.即兴表演的
adage	['æ;didʒ;] n.格言,谚语
adagio	[ə;'dɑ;:dʒ;iə;u] adv.缓慢地adj.缓慢的n.[音乐]柔板
adamant	['æ;də;mə;nt] adj.坚硬的
adamantine	[,æ;də;'mæ;ntain] adj.非常坚硬的,坚定不移的n.[冶]金刚合
adapt	[ə;'dæ;pt] vt.使适应,改编
adapt...to	使适合，使适用
adaptability	[ə;,dæ;ptə;'biliti] n.适应性
adaptable	[ə;'dæ;ptə;bl] adj.能适应的,可修改的
adaptation	[,æ;dæ;p'teiʃ;ə;n] n.适应,改编,改写本
adapter	[ə;'dæ;ptə;] n.适配器,改编者
adaption	[ə;'dæ;pʃ;ə;n] n.(=adaptation)适应,改编
adaptive	[ə;'dæ;ptiv] adj.适应的
adaptor	[ə;'dæ;ptə;] n.<美>编剧者,改编者
adaxial	[æ;d'æ;ksiə;l] adj.近轴的
add	[æ;d] vt.增加,添加,计算...总和,补充说,又说
addax	['æ;dæ;ks] n.[动]曲角羚羊(产于北非)
added	['æ;did] adj.更多的,附加的,额外的
addend	[ə;'dend] n.[数]加数
addenda	[ə;'dendə;] n.附录,附加物
addendum	[ə;'dendə;m] n.补遗，附录(复：addenda)
adder	['æ;də;] n.[计]加法器,[动](欧洲产)蝰蛇(小毒蛇),
addible	['æ;dibl] adj.可添加的
addict	[ə;'dikt] vt.使沉溺,使上瘾n.入迷的人,有瘾的人
addicted	[ə;'diktid] adj.沉溺于某种嗜好中的
addiction	[ə;'dikʃ;ə;n] n.沉溺,上瘾
addictive	[ə;'diktiv] adj.上瘾的
addition	[ə;'diʃ;ə;n] n.加,加起来,增加物,增加,加法
additional	[ə;'diʃ;ə;nə;l] adj.另外的,附加的,额外的
additionally	[ə;'diʃ;ə;nli] adv.加之,又
additive	['æ;ditiv] adj.附加的,加成的,添加的n.添加剂adj.添加的,附加的,加法的
additivity	n.添加,添加性
addle	['æ;dl] vt.使腐坏,使糊涂adj.腐坏的
addled	['æ;dld] adj.腐坏的,混乱的
addling	糊涂
address	[ə;'dres] n.地址,致辞,演讲,说话的技巧vt.向...
addressable	[æ;'dresə;bl] adj.可设定地址的
addressee	[,æ;dre'si:] n.受信人,收件人
addressing	[ə;'dres] 寻址,选择,选址
addressor	[ə;'dresə;] n.说话者,发言人
adduce	[ə;'dju:s] v．给予（理由），举出（
adducent	[ə;'dju:snt] adj.[生理]内收的
adduct	[ə;'dʌ;kt] vt.[生理]使内收n.[化]加合物
adduction	[ə;'dʌ;kʃ;ə;n] n.引用,[生理]内收
adenocarcinoma	[,æ;dnə;u,kɑ;:sə;'nə;umə;] n.[医]腺癌
adenoid	['æ;dinɔ;id] adj.[解剖]腺的,淋巴组织的
adenoids	['æ;dinɔ;idz] n.[医]腺状肿大,扁桃腺肥大
adenoma	[,æ;də;'nə;umə;] n.[医]腺瘤
adenosine	[ə;'denə;si:n] n.[生化]腺苷
adept	[ə;'dept] adj.熟练的,拿手的n.老手,擅长者
adequacy	['æ;dikwə;si] n.适当,足够
adequate	['æ;dikwit] adj.适当的,足够的
adequately	['æ;dikwitli] adv.充分地
adhere	[ə;d'hiə;] vi.粘附,胶着,坚持v.坚持
adherence	[ə;d'hiə;rə;ns] n.粘着,忠诚,坚持
adherent	[ə;d'hiə;rə;nt] n.信徒,追随者,拥护者
adhesion	[ə;d'hi:ʒ;ə;n] n.支持
adhesive	[ə;d'hi:siv] adj.带粘性的,胶粘n.粘合剂
adiabatic	[,æ;diə;'bæ;tik] adj.[物]绝热的,隔热的
adieu	[ə;'dju:] int.n.再见,再会
adios	[,ɑ;di'ə;us] int.再见,一路平安
adipose	['æ;dipə;us] adj.脂肪的,肥胖的n.动物脂肪
adiposity	[,æ;di'pɔ;siti] n.肥胖,肥胖症,肥胖倾向
adit	['æ;dit] n.入口,[矿]横坑,进入
adjacency	[ə;'dʒ;eisnsi] n.邻接
adjacent	[ə;'dʒ;eisnt] adj.邻近的,接近的
adjectival	[,æ;dʒ;ik'taivə;l] adj.形容词的
adjective	['æ;dʒ;iktiv] n.形容词
adjoin	[ə;'dʒ;ɔ;in] v.邻接,毗连
adjoining	[ə;'dʒ;ɔ;iniŋ;] adj.邻接的,隔壁的
adjourn	[ə;'dʒ;ə;:n] vi.延期,休会,换另一个地方vt.使中止,推迟
adjournment	[ə;'dʒ;ə;:nmə;nt] n.休会,延期
adjudge	[ə;'dʒ;ʌ;dʒ;] vt.宣判,判决,把...判给,认为
adjudicate	[ə;'dʒ;u:dikeit] v.判决,宣判,裁定
adjudication	[ə;,dʒ;u:di'keiʃ;ə;n] n.判决,(法院的)宣告
adjudicative	[ə;'dʒ;u:dikeitiv] adj.有判决权的,(法院)宣告的
adjudicator	[ə;'dʒ;ju:dikeitə;] n.判决者,裁定者
adjunct	['æ;dʒ;ʌ;ŋ;kt] n.附件,助手adj.附属的
adjunction	[ə;'dʒ;ʌ;ŋ;kʃ;ə;n] n.添加,附加,附加物
adjunctive	[ə;'dʒ;ʌ;ŋ;ktiv] adj.附属的,附加的
adjuration	[,æ;dʒ;uə;'reiʃ;ə;n] n.恳请,请愿
adjuratory	[ə;'dʒ;uə;rə;tə;ri] adj.誓言的,恳求的
adjure	[ə;'dʒ;uə;] vt.起誓,恳请,(以起誓或诅咒等形式)命令
adjust	[ə;'dʒ;ʌ;st] vt.调整,调节,校准,使适合
adjustability	[ə;,dʒ;ʌ;stə;'biliti] n.适应性
adjustable	[ə;'dʒ;ʌ;stə;bl] adj.可调整的
adjustment	[ə;'dʒ;ʌ;stmə;nt] n.调整,调节,调节器
adjutancy	['æ;dʒ;utə;nsi] n.副官职
adjutant	['æ;dʒ;utə;nt] n．（军队的）副官，助手
adjuvant	['æ;dʒ;uvə;nt] adj.辅佐的n.助理员
adman	['æ;d,mæ;n] n.广告部门职员,拉广告者
admeasure	[æ;d'meʒ;ə;] vt.分配,配给
admeasurement	[æ;d'meʒ;ə;mə;nt] n.分配,配给
administer	[ə;d'ministə;] v.管理,给予,执行
administrate	[ə;d'ministreit] vt.管理,支配
administration	[ə;d,mini'streiʃ;ə;n] n.管理,经营,行政部门
administrative	[ə;d'ministrə;tiv] adj.管理的,行政的
administrator	[ə;d'ministreitə;] n.管理人,行政官
admirable	['æ;dmə;rə;bl] adj.令人倾佩的,值的赞美的,绝妙的,极好的
admirably	['æ;dmə;rə;bli] adv.极好地,美好地
admiral	['æ;dmə;rə;l] n.海军上将,舰队司令,旗舰
admiralty	['æ;dmə;rə;lti] n.海军上将职位,舰队司令职位
admiration	[,æ;dmə;'reiʃ;ə;n] n.钦佩,赞美,羡慕
admire	[ə;d'maiə;] v.赞美,钦佩,羡慕
admirer	[ə;d'maiə;rə;] n.景慕者,赞赏者,敬慕者
admiring	[ə;d'maiə;riŋ;] adj.赞赏的,钦佩的
admiringly	[ə;d'mairiŋ;li] adv.钦佩地,羡慕地
admissibility	[ə;d,misə;'biliti] n.可容许,有入场的资格
admissible	[ə;d'misə;bl] adj.可容许的,可接纳的
admission	[ə;d'miʃ;ə;n] n.允许进入,承认某事之陈述,供认
admissive	[ə;d'misiv] adj.容许的
admit	[ə;d'mit] v.容许,承认,接纳
admittance	[ə;d'mitə;ns] n.入场权,准入
admittedly	[ə;d'mitidli] adv.公认地,诚然,无可否认的
admix	[æ;d'miks] vt.使混合vi.混合
admixture	[æ;d'mikstʃ;ə;] n.混合,混合物
admonish	[ə;d'mɔ;niʃ;] vt.劝告,训诫,警告
admonishment	[ə;d'mɔ;niʃ;mə;nt] n.(admonition)警告
admonition	[,æ;dmə;'niʃ;ə;n] n.警告
admonitory	[ə;d'mɔ;nitə;ri] adj．警告的
adnate	['æ;dneit] adj.[生物]贴生的,联生的,并生的
adnexa	[复]n.[解](器官的)附件(如眼睛的眼睑和泪
ado	[ə;'du:] n.纷扰,忙乱abbr.[军]AdvancedDevelopmentObjective,高级发展目标
adobe	[ə;'də;ubi] n.砖坯,土砖美国Adobe公司,是著名的图形
adolescence	[,æ;də;u'lesns] n.青春期(一般指成年以前由13至15的发育期)
adolescent	[,æ;də;'lesnt] adj.青春期的,青春的n.青少年
adopt	[ə;'dɔ;pt] vt.采用,收养
adoptability	[ə;,dɔ;ptə;'biliti] n.采纳性
adoptable	[ə;'dɔ;ptə;bl] adj.可采用的,可收养的
adoption	[ə;'dɔ;pʃ;ə;n] n.采用,收养
adoptionism	n.[宗]相信耶稣是上帝义子的学说,嗣子说
adoptive	[ə;'dɔ;ptiv] adj.收养关系的,采用的
adorable	[ə;'dɔ;:rə;bl] adj.可崇拜的,可爱的
adorably	[ə;'dɔ;:rə;bli] adv.崇拜
adoration	[,æ;də;'reiʃ;ə;n] n.崇拜,爱慕,受崇拜(或爱慕)的对象
adore	[ə;'dɔ;:] v.崇拜,爱慕,(口语)喜爱
adoring	[ə;'dɔ;:riŋ;] adj.崇拜的,敬慕的
adorn	[ə;'dɔ;:n] v.装饰
adorned	装饰
adornment	[ə;'dɔ;:nmə;nt] n.装饰,装饰品
adown	[ə;'daun] adv.prep.向下,朝下
adrenal	[æ;d'ri:nə;l] adj.肾上腺的n.肾上腺
adrenalin	[ə;'drenə;lin] n.[生化]肾上腺素
adrenergic	[,æ;drə;'nə;:dʒ;ik] adj.[生化]肾上腺素的,释放肾上腺素的
adrenocortical	[ə;,dri:nə;u'kɔ;:tikə;l] adj.[解]肾上腺皮质的
adrift	[ə;'drift] adv.漂浮着,随波逐流地adj.漂泊的
adroit	[ə;'drɔ;it] adj.熟练的,机捷的
adroitly	[ə;'drɔ;itli] adv.熟练地,敏捷地
adroitness	[ə;'drɔ;itnis] 灵巧
adscititious	[,æ;dsi'tiʃ;ə;s] adj.外加的,补充的
adscript	['æ;dskript] adj.(字母等)后写的,(农奴)附属土地的
adsorb	[æ;d'sɔ;:b] vt.吸附vi.被吸附
adsorbate	[æ;d'sɔ;:beit] n.被吸附物
adsorbent	[æ;d'sɔ;:bə;nt] adj.吸附的n.吸附剂
adsorption	[æ;d'sɔ;:pʃ;ə;n] n.吸附
adularia	[,æ;dju'lɛ;ə;riə;] n.[矿]冰长石,月长石
adulate	['æ;dʒ;uleit] v．谄媚，奉承
adulation	[,æ;dʒ;u'leiʃ;ə;n] n.奉承,阿谀
adulatory	['æ;dʒ;uleitə;ri] adj.奉承的
adult	[ə;'dʌ;lt] n.成人,成年人adj.成人的,成熟的
adulterant	[ə;'dʌ;ltə;rə;nt] adj.掺杂用的n.掺杂物
adulterate	[ə;'dʌ;ltə;reit] vt.掺杂adj.掺假的,通奸的
adulterated	adj.掺入次级品的
adulteration	[ə;,dʌ;ltə;'reiʃ;ə;n] n.掺杂,掺假货
adulteress	[ə;'dʌ;ltə;ris] n.奸妇
adulterine	[ə;'dʌ;ltə;rin] adj.不正当的n.私生子
adulterous	[ə;'dʌ;ltə;rə;s] adj.通奸的,不贞的
adultery	[ə;'dʌ;ltə;ri] n.通奸,通奸行为
adulthood	[ə;'dʌ;lthud] n.成人期
adumbral	[æ;d'ʌ;mbrə;l] adj.遮阳的,成荫的
adumbrate	['æ;dʌ;mbreit] vt.画轮廓,预示
adumbration	[,æ;dʌ;m'breiʃ;ə;n] n.预兆
adust	[ə;'dʌ;st] adj.烧焦的,烤干的,阴沉的
advance	[ə;d'vɑ;:ns] n.前进,提升,预付款v.前进,提前,预付
advanced	[ə;d'vɑ;:nst] adj.高级的,年老的,先进的
advancement	[ə;d'vɑ;:nsmə;nt] n.前进,进步
advantage	[ə;d'vɑ;:ntidʒ;] n.优势,有利条件,利益
advantageous	[,æ;dvə;n'teidʒ;ə;s] adj.有利的
advection	[æ;d'vekʃ;ə;n] n.水平对流
advent	['æ;dvə;nt] n.(尤指不寻常的人或事)出现,到来
adventitia	[,æ;dvə;n'tiʃ;iə;] n.[解]外膜,动脉外膜
adventitious	[,æ;dven'tiʃ;ə;s] adj.偶然的,外来的
adventive	[æ;d'ventiv] n.外来的动物或植物adj.外来的,非本土的,
adventure	[ə;d'ventʃ;ə;] n.冒险,冒险的经历v.冒险
adventurer	[ə;d'ventʃ;ə;rə;] n.冒险家
adventuresome	[ə;d'ventʃ;ə;sə;m] adj.冒险性的
adventuress	[ə;d'ventʃ;ə;ris] n.用不正当手段谋求名利(或地位)的女人,女
adventurism	[ə;d'ventʃ;ə;rizm] n.(外交,政治等方面的)冒险主义
adventurist	[ə;d'ventʃ;ə;rist] n.冒险主义者
adventurous	[ə;d'ventʃ;ə;rə;s] adj.喜欢冒险的,敢做敢为的,充满危险的
adverb	['æ;dvə;:b] n.副词
adverbial	[ə;d'və;:biə;l] adj.副词的,状语的n.状语
adversarial	[,æ;dvə;'sɛ;ə;riə;l] adj.敌手的,对手的,对抗(性)的
adversary	['æ;dvə;,sə;ri] n.敌手,对手
adversative	[ə;d'və;:sə;tiv] adj.意义相反(或对照)的n.反意语
adverse	['æ;dvə;:s] adj.不利的,敌对的,相反的
adversity	[ə;d'və;:siti] n.不幸,灾祸,逆境
advert	[ə;d'və;:t] vi.注意,留意n.广告
advertence	[ə;d'və;:tə;ns] n.注意,留意
advertency	[ə;d'və;:tə;nsi] n.注意,谈及
advertent	[ə;d'və;:tə;nt] adj.注意的,留意的
advertise	['æ;dvə;taiz] v.做广告,登广告
advertisement	[ə;d'və;:tismə;nt] n.广告,做广告
advertiser	['æ;dvə;,taizə;] n.登广告者,广告客户
advertising	['æ;dvə;,taiziŋ;] n.广告业,广告adj.广告的
advertize	['æ;dvə;taiz] vt.做广告,通知vi.做广告
advertizing	n.广告业,广告adj.广告的
advice	[ə;d'vais] n.忠告,建议,[商]通知
advisability	[ə;d,vaizə;'biliti] n.明智
advisable	[ə;d'vaizə;bl] adj.可取的,明智的
advise	[ə;d'vaiz] vt.劝告,忠告,警告,建议
advised	[ə;d'vaizd] adj.考虑过的,细想过的
advisedly	[ə;d'vaizidli] adv.经过考虑地,故意地
advisement	[ə;d'vaizmə;nt] n.深思熟虑,劝告,考虑
adviser	[ə;d'vaizə;] n.顾问；指导教师
advisor	[ə;d'vaizə;] n.顾问,<美>(学生的)指导老师
advisory	[ə;d'vaizə;ri] adj.顾问的,咨询的,劝告的
advocacy	['æ;dvə;kə;si] n.拥护,鼓吹,辩护,辩护术
advocate	['æ;dvə;kit] n.提倡者,鼓吹者vt.提倡,鼓吹
advowson	[ə;d'vauzə;n] n.(英国法律)受俸牧师推荐权
adynamia	[,æ;di'neimiə;] n.[医]体力缺乏,无力
adynamic	[,æ;dai'næ;mik] adj.衰弱的
adytum	['æ;ditə;m] n.内殿,内院,密室
adz	[æ;dz] n.扁斧,锛子
